ID_mother,m_rec_meth,m_study1_part,m_part_round,m_partner_completed,partner_ID_mother,m_study2_survey,m_fWHR_ben,m_fWHR_mad,m_expression_not_neutral,m_angled_face,m_obstructed_face,m_useable_for_ratings,m_photo_resubmission,m_sex,m_ethnicity,m_nationality,m_age,m_age_first_bio_child,m_sex_first_bio_child,m_num_bio_child,m_has_adopted_child,m_ppp_adjusted_income_usd,m_ISCO.08_code,m_ISEI.08_occ_status,m_SSS,m_SR_dom_cheng,m_PR_dom_cheng,m_SR_pres_cheng,m_PR_pres_cheng,m_SAT,m_IPIP_dom,m_intra_comp,m_ind_agg_full,m_ind_agg_soc_excl,m_ind_agg_mal_hum,m_ind_agg_guilt,m_photo_method,m_facial_dominance,m_facial_masculinityfemininity,m_facial_attractiveness,m_fWHR,ID_father,f_rec_meth,f_study1_part,f_part_round,f_partner_completed,f_study2_survey,f_fWHR_ben,f_fWHR_mad,f_expression_not_neutral,f_angled_face,f_obstructed_face,f_useable_for_ratings,f_photo_resubmission,f_sex,f_ethnicity,f_nationality,f_age,f_age_first_bio_child,f_sex_first_bio_child,f_num_bio_child,f_has_adopted_child,f_ppp_adjusted_income_usd,f_ISCO.08_code,f_ISEI.08_occ_status,f_SSS,f_SR_dom_cheng,f_PR_dom_cheng,f_SR_pres_cheng,f_PR_pres_cheng,f_SAT,f_IPIP_dom,f_intra_comp,f_ind_agg_full,f_ind_agg_soc_excl,f_ind_agg_mal_hum,f_ind_agg_guilt,f_photo_method,f_facial_dominance,f_facial_masculinityfemininity,f_facial_attractiveness,f_fWHR,shared_child_sex,shared_child_age
51737554,prolific,2,2,1,5099322611,2,1.77,1.767,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,37,6,female,2,no,14970.05988,4226,39.02,49,1.875,3.777777778,4.666666667,4.111111111,2,11,2,25,10,9,6,computer,4.351351351,3.216216216,2.594594595,1.7685,5099322611,prolific,3,1,1,3,1.719,1.717,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,38,6,female,2,no,50898.20359,3355,63.03,58,1.875,2.111111111,3.666666667,4.666666667,1,27,1.75,30,11,12,7,phone,4.72972973,5.810810811,3.756756757,1.718,0,6
54248835,prolific,2,1,1,712177503,4,NA,NA,neutral,0,1,1,no_resubmission,female,White/Caucasian,United Kingdom,36,6,female,1,no,16309.88024,3512,62.45,49,3.375,4.222222222,4.777777778,4.666666667,5,33,1,28,12,9,7,phone,3.5,3.421052632,2.5,NA,712177503,prolific,2,1,1,1,1.754,1.758,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,37,6,female,1,no,56886.22754,2330,82.41,63,3.5,2.111111111,5.444444444,6.444444444,1,29,2.75,34,11,12,11,phone,4.475,6.125,2.325,1.756,0,6
262306140,prolific,3,1,1,9403150929,4,1.491,1.42,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,33,4,male,1,no,NA,2359,66.42,39,3.75,4.111111111,4.666666667,3.888888889,1,38,3.416666667,31,10,12,9,phone,3.526315789,2.868421053,3.105263158,1.4555,9403150929,prolific,2,2,1,1,1.659,1.627,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,31,4,male,1,no,44910.17964,NA,NA,65,3.375,2.555555556,3.444444444,6.666666667,2,39,3.916666667,62,27,20,15,phone,5.125,5.85,3.2,1.643,1,4
274209232,prolific,2,5,1,4689726104,NA,NA,NA,neutral,0,1,1,no_resubmission,female,White/Caucasian,United Kingdom,26,4,male,2,no,10778.44311,9111,16.38,48,1.875,2.888888889,4.111111111,5.111111111,2,13,2.416666667,26,10,10,6,phone,3.830985915,2.957746479,3.577464789,NA,4689726104,prolific,3,2,1,NA,1.661,1.65,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,25,4,male,2,no,48570.35928,3253,53.15,50,2.875,2.333333333,5.666666667,4.888888889,3,33,2.916666667,38,16,15,7,phone,4.263157895,5.197368421,3.657894737,1.6555,1,4
311684069,prolific,2,1,1,4988644240,2,1.442,1.42,neutral,0,0,1,no_resubmission,female,White/Caucasian,Portugal,31,6,female,1,no,32967.03297,7543,43.19,63,5,4.444444444,6,5.888888889,4,32,3.666666667,35,12,13,10,phone,3.702702703,2.783783784,3.459459459,1.431,4988644240,prolific,2,1,1,3,NA,NA,not_neutral,1,0,1,no_resubmission,male,White/Caucasian,Portugal,31,6,female,1,no,NA,1321,65.42,66,4.5,4.111111111,5.777777778,6,1,40,3.083333,32,11,11,10,phone,3.378378378,5.189189189,3,NA,0,6
403751873,prolific,2,1,1,3352978025,2,1.531,1.577,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,37,3,female,1,no,26197.60479,1212,74.79,50,2.125,1.111111111,5.333333333,5.333333333,1,15,2.666666667,26,10,10,6,phone,3.648648649,2.621621622,2.810810811,1.554,3352978025,prolific,2,1,1,3,NA,NA,neutral,0,1,1,no_resubmission,male,White/Caucasian,United Kingdom,36,3,female,1,no,38922.15569,3412,52.72,50,1.875,1.222222222,4.666666667,5.444444444,1,28,2.416667,25,10,9,6,phone,4.459459459,5.297297297,2.891891892,NA,0,3
792508862,prolific,2,1,1,4132930543,2,1.453,1.418,neutral,0,0,1,had_resubmission,female,African,South Africa,27,5,male,1,no,1291.433491,3512,62.45,70,2.125,2.111111111,6.555555556,6,5,17,1.25,28,13,9,6,computer,3.216216216,2.702702703,3.405405405,1.4355,4132930543,prolific,2,1,1,1,1.774,1.736,neutral,0,0,1,no_resubmission,male,African,South Africa,37,5,male,1,no,17075.62061,3322,57.03,52,2.375,1.333333333,6.222222222,6.888888889,0,23,2.666667,30,11,12,7,phone,3.775,4.425,3.675,1.755,1,5
841317721,prolific,2,2,1,8007680224,2,1.629,1.654,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,33,5,female,2,no,20209.58084,7536,18.07,49,2.875,1.666666667,5.111111111,3.333333333,3,33,1,29,10,12,7,phone,2.891891892,3.864864865,2.324324324,1.6415,8007680224,prolific,3,3,1,NA,1.799,1.761,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,32,6,female,2,no,36676.64671,9613,13.87,25,5.375,2.444444444,3.777777778,5.777777778,1,40,1,39,15,13,11,phone,5.289473684,5.934210526,3.421052632,1.78,0,1
854419375,prolific,3,1,1,3848370169,4,1.694,1.688,neutral,0,0,1,no_resubmission,female,East Asian,United Kingdom,42,6,male,2,no,53892.21557,3512,62.45,61,1.875,1.222222222,5.555555556,6.222222222,3,25,1.75,26,10,10,6,phone,4.5,3.289473684,3.710526316,1.691,3848370169,prolific,2,2,1,1,1.595,1.57,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,46,6,male,2,no,41916.16766,3512,62.45,60,1.75,1.222222222,5.777777778,6.555555556,0,36,1.666666667,28,11,11,6,phone,3.85,4.85,2.725,1.5825,1,6
914022653,prolific,2,2,1,2261694597,4,1.605,1.561,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,30,4,female,2,no,14970.05988,2434,73.91,48,1,3.444444444,6.333333333,4.333333333,2,25,1.916666667,34,11,16,7,phone,3.078947368,3.315789474,2.657894737,1.583,2261694597,prolific,3,1,1,3,1.818,1.853,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,33,4,female,2,no,31437.12575,5131,25.04,36,3.875,2.555555556,4.111111111,6.666666667,5,29,2.25,36,16,11,9,computer,4.27027027,5.324324324,3.243243243,1.8355,0,4
